Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-10-23 00:00:00-04:00,17.72845015031583,17.774014177696312,17.289382061251153,17.397077560424805,2060000,0.0,0.0
2009-10-26 00:00:00-04:00,17.434353875369794,17.840285420988906,17.185824873597724,17.256240844726562,2444600,0.0,0.0
2009-10-27 00:00:00-04:00,17.256244401690424,17.471636985008406,17.040851818372442,17.073989868164062,3077400,0.0,0.0
2009-10-28 00:00:00-04:00,17.057421054583788,17.252103149248413,16.560361362315952,16.581071853637695,3826200,0.0,0.0
2009-10-29 00:00:00-04:00,16.721906850132005,17.218966585303615,16.622495851163286,17.04085350036621,5018600,0.0,0.0
2009-10-30 00:00:00-04:00,18.295921301897206,18.821975850048716,17.60418128967285,17.60418128967285,20105200,0.0,0.0
2009-11-02 00:00:00-05:00,17.87343101600912,18.42433778208505,17.703602424348478,18.38705825805664,6843400,0.0,0.0
2009-11-03 00:00:00-05:00,18.17580563696179,18.51960422987792,18.07225159642777,18.49889373779297,5351000,0.0,0.0
2009-11-04 00:00:00-05:00,18.648013953388226,18.7225729975553,18.465759389929513,18.532033920288086,3579200,0.0,0.0
2009-11-05 00:00:00-05:00,18.561028338134545,19.1533576256701,18.511321256864722,19.124361038208008,7217200,0.0,0.0
2009-11-06 00:00:00-05:00,19.095361940447866,19.389456577913588,18.768132416118856,19.36460304260254,6401400,0.0,0.0
2009-11-09 00:00:00-05:00,19.52201019030132,19.64627473581903,19.372892103636296,19.526151657104492,4720200,0.0,0.0
2009-11-10 00:00:00-05:00,19.48472700832182,19.72083007448504,19.327324437509965,19.406024932861328,5184800,0.0,0.0
2009-11-11 00:00:00-05:00,19.493005478837503,19.646264956013955,19.120210447750303,19.273469924926758,4879000,0.0,0.0
2009-11-12 00:00:00-05:00,19.306613181734843,19.34389269491995,19.099505126286257,19.24448013305664,6684000,0.0,0.0
2009-11-13 00:00:00-05:00,19.28590063162668,19.38117013734096,19.111929061980995,19.314895629882812,3286600,0.0,0.0
2009-11-16 00:00:00-05:00,19.389457051388636,20.259310267098762,19.356319003498033,20.23859977722168,7162400,0.0,0.0
2009-11-17 00:00:00-05:00,20.15989621864324,20.33386779703671,20.106049264950787,20.300729751586914,4522200,0.0,0.0
2009-11-18 00:00:00-05:00,20.2593092298257,20.321442276384833,19.758108131959933,19.94450569152832,4372200,0.0,0.0
2009-11-19 00:00:00-05:00,19.828518748757638,19.857513741283213,19.41016129938248,19.720823287963867,2750800,0.0,0.0
2009-11-20 00:00:00-05:00,19.637985221118907,19.85751924829759,19.443303148649346,19.824382781982422,4162600,0.0,0.0
2009-11-23 00:00:00-05:00,20.052196474829586,20.39185346804882,19.89479395257159,20.002490997314453,3260600,0.0,0.0
2009-11-24 00:00:00-05:00,19.98592733942367,20.147471369764258,19.80367281957182,19.90308380126953,3531200,0.0,0.0
2009-11-25 00:00:00-05:00,20.17125500746134,20.238296921965365,20.007840440758116,20.204776763916016,2405400,0.275,0.0
2009-11-27 00:00:00-05:00,19.718719007670536,19.78995032997036,19.33322686843223,19.689388275146484,1599400,0.0,0.0
2009-11-30 00:00:00-05:00,19.743863069214378,19.743863069214378,19.450554080990482,19.622350692749023,3160000,0.0,0.0
2009-12-01 00:00:00-05:00,19.76061430378027,20.410082861749057,19.76061430378027,20.393321990966797,4140600,0.0,0.0
2009-12-02 00:00:00-05:00,20.36399624784503,20.757868815556222,20.301145364643567,20.741107940673828,4051800,0.0,0.0
2009-12-03 00:00:00-05:00,20.715968017390928,20.971565782068154,20.611214939959613,20.669878005981445,5322000,0.0,0.0
2009-12-04 00:00:00-05:00,20.854245425723196,20.950618077069073,20.44361350322128,20.451993942260742,7840000,0.0,0.0
2009-12-07 00:00:00-05:00,20.464557629793944,20.732725204560005,20.280192821743487,20.560930252075195,4384800,0.0,0.0
2009-12-08 00:00:00-05:00,20.477129621103973,20.477129621103973,19.928224558755954,20.045547485351562,6750800,0.0,0.0
2009-12-09 00:00:00-05:00,20.175445858606498,20.234107333509503,19.73129217970397,19.91565704345703,3302000,0.0,0.0
